m_samp_id,host,state,month,year,month_year,loc_name,latitude,longitude,day_count,macaque_n,malaria_n,pk_n,pcy_n,pin_n,pct_n,pfi_n,malaria_rate,pk_rate,pcy_rate,pin_rate,pct_rate,pfi_rate,pk_bin,pcy_bin,pin_bin,pct_bin,pfi_bin,pk_cat,pcy_cat,pin_cat,pct_cat,pfi_cat
59,macaque,Negeri Sembilan,8,2021,31/8/2021,"Sungai Raya, Tg Agas, Port Dickson",2.4117858,101.9622927,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
60,macaque,Negeri Sembilan,8,2021,31/8/2021,"Kg Segenting, Port Dickson",2.4268847,101.8732208,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
61,macaque,Negeri Sembilan,9,2021,30/9/2021,"Kg Teluk Pelanduk, Port Dickson",2.4270884,101.9212121,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
62,macaque,Negeri Sembilan,9,2021,30/9/2021,"Kg Sungai Bioh, Lenggeng, Seremban",2.8639405,101.8878606,1,2,1,0,1,0,0,1,0.5,0,0.5,0,0,0.5,0,1,0,0,1,1,2,1,1,2
63,macaque,Terengganu,6,2022,30/6/2022,"Kg Beris Baru, Besut",5.7969316,102.5233648,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
64,macaque,Terengganu,6,2022,30/6/2022,"Kg Kerandang, Besut",5.716086,102.569492,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
65,macaque,Terengganu,6,2022,30/6/2022,"Kg Rahmat, Besut",5.4651013,102.7999929,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
66,macaque,Terengganu,6,2022,30/6/2022,"Kg Bukit Diman, Hulu Terengganu",5.0456679,103.1141474,1,9,9,7,7,9,6,9,1,0.777777778,0.777777778,1,0.666666667,1,1,1,1,1,1,3,3,3,3,3
67,macaque,Terengganu,7,2022,31/7/2022,"Istana Syarqiyyah, Bukit Chendering, Kuala Terengganu",5.2550208,103.1709478,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,2,1,2
68,macaque,Terengganu,7,2022,31/7/2022,"Pulau Kerengga, Kuala Terengganu",5.1288338,103.2487988,1,2,2,2,1,0,0,1,1,1,0.5,0,0,0.5,1,1,0,0,1,2,2,1,1,2
69,macaque,Terengganu,7,2022,31/7/2022,"Kg Jati Gong Badak, Kuala Terengganu",5.3856019,103.086532,1,3,2,0,1,2,2,2,0.666666667,0,0.333333333,0.666666667,0.666666667,0.666666667,0,1,1,1,1,1,2,2,2,2
70,macaque,Terengganu,7,2022,31/7/2022,"Felda Belara, Kuala Terengganu",5.292288,102.944331,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
71,macaque,Terengganu,7,2022,31/7/2022,"Felda Jerangau, Dungun",4.9011781,103.1867777,1,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3
72,macaque,Terengganu,9,2022,30/9/2022,"Kg Baru, Kemasik, Kemaman",4.4251179,103.4426062,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,2,1,2
73,macaque,Terengganu,9,2022,30/9/2022,"Bukit Teruna, Kemasik, Kemaman",4.3764006,103.4084356,1,13,4,1,1,2,2,2,0.307692308,0.076923077,0.076923077,0.153846154,0.153846154,0.153846154,1,1,1,1,1,2,2,2,2,2
74,macaque,Terengganu,9,2022,30/9/2022,"Rantau Bukit , Rantau Laut, Kemasik, Kemaman",4.4696882,103.4414913,1,14,2,1,0,1,0,1,0.142857143,0.071428571,0,0.071428571,0,0.071428571,1,0,1,0,1,2,1,2,1,2
75,macaque,Kuala Lumpur,6,2022,30/6/2022,Kg Sungai Penchala,3.1587707,101.6305307,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
76,macaque,Kuala Lumpur,6,2022,30/6/2022,Taman Persekutuan Bukit Kiara TTDI,3.145795,101.632394,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
77,macaque,Kuala Lumpur,9,2022,30/9/2022,"Kelab Golf Diraja Selangor, Jalan Tun Razak",3.1438739,101.7236207,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
78,macaque,Putrajaya,6,2022,30/6/2022,Putrajaya Presint 11,2.9623865,101.6767076,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
